,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash,dates_dt
0,20210307,56,28756489.0,74582825.0,11808.0,40199.0,878613.0,8134.0,45475.0,2802.0,4281.0,2021-03-07T24:00:00Z,515151.0,878613.0,363825123,2021-03-07T24:00:00Z,,0,0,842,726,131835,41835,1170059,5468834088e2fb08a860dda6178a1faabe61edce,2021-03-07
1,20210306,56,28714654.0,74450990.0,11783.0,41401.0,877887.0,8409.0,45453.0,2811.0,4280.0,2021-03-06T24:00:00Z,514309.0,877887.0,362655064,2021-03-06T24:00:00Z,,0,0,1680,503,143835,60015,1430992,21a596203ad2c78f4e54d1e69967caf126a2a5a7,2021-03-06
2,20210305,56,28654639.0,74307155.0,12213.0,42541.0,877384.0,8634.0,45373.0,2889.0,4275.0,2021-03-05T24:00:00Z,512629.0,877384.0,361224072,2021-03-05T24:00:00Z,,0,0,2221,2781,271917,68787,1744417,a35ea4289cec4bb55c9f29ae04ec0fd5ac4e0222,2021-03-05
3,20210304,56,28585852.0,74035238.0,12405.0,44172.0,874603.0,8970.0,45293.0,2973.0,4267.0,2021-03-04T24:00:00Z,510408.0,874603.0,359479655,2021-03-04T24:00:00Z,,0,0,1743,1530,177957,65487,1590984,a19ad6379a653834cbda3093791ad2c3b9fab5ff,2021-03-04
4,20210303,56,28520365.0,73857281.0,11778.0,45462.0,873073.0,9359.0,45214.0,3094.0,4260.0,2021-03-03T24:00:00Z,508665.0,873073.0,357888671,2021-03-03T24:00:00Z,,0,0,2449,2172,267001,66836,1406795,9e1d2afda1b0ec243060d6f68a7134d011c0cb2a,2021-03-03
5,20210302,56,28453529.0,73590280.0,11196.0,46388.0,870901.0,9465.0,45084.0,3169.0,4257.0,2021-03-02T24:00:00Z,506216.0,870901.0,356481876,2021-03-02T24:00:00Z,,0,0,1728,1871,255779,54248,1343519,d09d1f506dacacd07f11102ddf356ffc29bbaeb6,2021-03-02
6,20210301,56,28399281.0,73334501.0,11748.0,46738.0,869030.0,9595.0,44956.0,3171.0,4252.0,2021-03-01T24:00:00Z,504488.0,869030.0,355138357,2021-03-01T24:00:00Z,,0,0,1241,1024,118077,48092,1154440,b8084497a1216c1ba4e391d7496b7c0ee669cffa,2021-03-01
7,20210228,56,28351189.0,73216424.0,11708.0,47352.0,868006.0,9802.0,44907.0,3245.0,4252.0,2021-02-28T24:00:00Z,503247.0,868006.0,353983917,2021-02-28T24:00:00Z,,0,0,1051,879,203599,54349,1408422,c7cfdf3c2bf7472966bada1560de5d2d7a30277e,2021-02-28
8,20210227,56,28296840.0,73012825.0,11731.0,48871.0,867127.0,10114.0,44875.0,3335.0,4252.0,2021-02-27T24:00:00Z,502196.0,867127.0,352575495,2021-02-27T24:00:00Z,,0,0,1847,1428,205090,71245,1655179,b1154e8002e47ec585f769adf5ceecaa53dc8cbb,2021-02-27
9,20210226,56,28225595.0,72807735.0,11945.0,51112.0,865699.0,10466.0,44791.0,3466.0,4247.0,2021-02-26T24:00:00Z,500349.0,865699.0,350920316,2021-02-26T24:00:00Z,,0,0,2141,1868,276829,74857,1803309,24286d9bbff64d4ff6b09301e75eac682dafc732,2021-02-26
10,20210225,56,28150738.0,72530906.0,11813.0,52669.0,863831.0,10846.0,44636.0,3567.0,4240.0,2021-02-25T24:00:00Z,498208.0,863831.0,349117007,2021-02-25T24:00:00Z,,0,0,3138,2047,272209,75565,1826144,ebe1bcbf6b038b0d09f7c0c36a520aecb7203185,2021-02-25
11,20210224,56,28075173.0,72258697.0,12548.0,54118.0,861784.0,11026.0,44534.0,3685.0,4227.0,2021-02-24T24:00:00Z,495070.0,861784.0,347290863,2021-02-24T24:00:00Z,,0,0,2447,2172,245318,73258,1450666,f46ae4b6bbcbbe58141dc508d24dd529cd90ba21,2021-02-24
12,20210223,56,28001915.0,72013379.0,11200.0,55058.0,859612.0,11272.0,44420.0,3755.0,4214.0,2021-02-23T24:00:00Z,492623.0,859612.0,345840197,2021-02-23T24:00:00Z,,0,0,2241,2164,225267,69105,1193835,96928c4e03f13733e95f54901bc2c8d57445bab7,2021-02-23
13,20210222,56,27932810.0,71788112.0,9499.0,55403.0,857448.0,11536.0,44266.0,3804.0,4200.0,2021-02-22T24:00:00Z,490382.0,857448.0,344646362,2021-02-22T24:00:00Z,,0,0,1235,1305,123611,52530,1201247,3cde33e40533d0a5b51b1ec41a3af393e95c3273,2021-02-22
14,20210221,56,27880280.0,71664501.0,9442.0,56159.0,856143.0,11862.0,44216.0,3915.0,4197.0,2021-02-21T24:00:00Z,489147.0,856143.0,343445115,2021-02-21T24:00:00Z,,0,0,1287,997,156778,58702,1232995,dc563e668d3d69a90a8b7d7adffa40cdf3dcf816,2021-02-21
15,20210220,56,27821578.0,71507723.0,9408.0,58222.0,855146.0,12120.0,44166.0,3932.0,4197.0,2021-02-20T24:00:00Z,487860.0,855146.0,342212120,2021-02-20T24:00:00Z,,0,0,2160,1732,141790,72354,1290481,52d338d72d7d17223e1783c89441e0339b6adae0,2021-02-20
16,20210219,56,27749224.0,71365933.0,8711.0,59882.0,853414.0,12491.0,44085.0,4118.0,4187.0,2021-02-19T24:00:00Z,485700.0,853414.0,340921639,2021-02-19T24:00:00Z,,0,0,2477,2674,224755,74676,1878033,bfdee77c573a027acf9119a7dfce7d0d3df0dd34,2021-02-19
17,20210218,56,27674548.0,71141178.0,8679.0,62224.0,850740.0,13036.0,43964.0,4180.0,4178.0,2021-02-18T24:00:00Z,483223.0,850740.0,339043606,2021-02-18T24:00:00Z,,0,0,2616,2497,218491,66824,1345849,a809f4c3d6315a68bb66051b6ebdbe69683c5eed,2021-02-18
18,20210217,56,27607724.0,70922687.0,8548.0,63329.0,848243.0,13094.0,43823.0,4271.0,4154.0,2021-02-17T24:00:00Z,480607.0,848243.0,337697757,2021-02-17T24:00:00Z,,0,0,2348,2857,233666,66839,1298421,cf5fb5115cfaedf59e7d77bf3412dbc5db27f345,2021-02-17
19,20210216,56,27540885.0,70689021.0,11547.0,64457.0,845386.0,13607.0,43673.0,4415.0,4149.0,2021-02-16T24:00:00Z,478259.0,845386.0,336399336,2021-02-16T24:00:00Z,,0,0,1353,2094,101102,56312,1053698,4aa66270ec18ee9643108425792c67816c05b92b,2021-02-16
20,20210215,56,27484573.0,70587919.0,11494.0,65379.0,843292.0,13790.0,43553.0,4468.0,4143.0,2021-02-15T24:00:00Z,476906.0,843292.0,335345638,2021-02-15T24:00:00Z,,0,0,1078,1130,143388,55077,1123560,25ac7551bc495c875a0907ffead0e698ec6c3ceb,2021-02-15
21,20210214,56,27429496.0,70444531.0,11515.0,66947.0,842162.0,14038.0,43516.0,4542.0,4141.0,2021-02-14T24:00:00Z,475828.0,842162.0,334222078,2021-02-14T24:00:00Z,,0,0,1366,1236,171877,72164,1439631,873b42c67f74f8c72b340c94236bfb155e694588,2021-02-14
22,20210213,56,27357332.0,70272654.0,11529.0,69207.0,840926.0,14387.0,43463.0,4648.0,4140.0,2021-02-13T24:00:00Z,474462.0,840926.0,332782447,2021-02-13T24:00:00Z,,0,0,3467,1805,234293,90642,1757608,8f0b5a4e4e3bbc940bd1328a22e5422e2dacede9,2021-02-13
23,20210212,56,27266690.0,70038361.0,9434.0,71471.0,839121.0,14766.0,43389.0,4849.0,4126.0,2021-02-12T24:00:00Z,470995.0,839121.0,331024839,2021-02-12T24:00:00Z,,0,0,5427,2347,255983,101030,1812454,65ae82d4a91169e22eeae4f969ee9e1144c14c6d,2021-02-12
24,20210211,56,27165660.0,69782378.0,11981.0,74208.0,836774.0,15181.0,43291.0,4970.0,4113.0,2021-02-11T24:00:00Z,465568.0,836774.0,329212385,2021-02-11T24:00:00Z,,0,0,3873,2460,260124,102417,1855929,f05b30b7eceb6d10f7096c2ba165812148016c03,2021-02-11
25,20210210,56,27063243.0,69522254.0,12079.0,76979.0,834314.0,15788.0,43184.0,5121.0,4106.0,2021-02-10T24:00:00Z,461695.0,834314.0,327356456,2021-02-10T24:00:00Z,,0,0,3445,3226,155861,95194,1382709,1a3ef4c21857a7d1e01ab2a35db094c74bc07cf1,2021-02-10
26,20210209,56,26968049.0,69366393.0,10516.0,79179.0,831088.0,16129.0,43000.0,5216.0,4092.0,2021-02-09T24:00:00Z,458250.0,831088.0,325973747,2021-02-09T24:00:00Z,,0,0,2795,3144,337168,92986,1488481,fdbc90bfdaa52dc8751eb4bb9c7a2d5f86bde24f,2021-02-09
27,20210208,56,26875063.0,69029225.0,12114.0,80055.0,827944.0,16174.0,42833.0,5260.0,4080.0,2021-02-08T24:00:00Z,455455.0,827944.0,324485266,2021-02-08T24:00:00Z,,0,0,1309,1638,142156,77737,1400009,936e8fcad04008acb541ee2058fd9985f894bf4d,2021-02-08
28,20210207,56,26797326.0,68887069.0,12061.0,81439.0,826306.0,16616.0,42779.0,5342.0,4079.0,2021-02-07T24:00:00Z,454146.0,826306.0,323085257,2021-02-07T24:00:00Z,,0,0,1475,1543,208303,95994,1498808,c730a404f431c17a415a91600acb6fd58c5ce52a,2021-02-07
29,20210206,56,26701332.0,68678766.0,12070.0,84233.0,824763.0,17093.0,42730.0,5475.0,4078.0,2021-02-06T24:00:00Z,452671.0,824763.0,321586449,2021-02-06T24:00:00Z,,0,0,2994,2443,282477,114557,1888854,f2eb11820d617aa16e1435510aaad773d6590965,2021-02-06
